emoji,hexcode,hfg-priority,hfg-tags
👩‍👧‍👧,1F469-200D-1F467-200D-1F467,3,
👩‍👩‍👦,1F469-200D-1F469-200D-1F466,3,
👩‍👩‍👦‍👦,1F469-200D-1F469-200D-1F466-200D-1F466,3,
👩‍👩‍👧,1F469-200D-1F469-200D-1F467,3,
👩‍👩‍👧‍👦,1F469-200D-1F469-200D-1F467-200D-1F466,3,
👩‍👩‍👧‍👧,1F469-200D-1F469-200D-1F467-200D-1F467,3,
👩‍💻,1F469-200D-1F4BB,3,
👩‍💼,1F469-200D-1F4BC,3,
👩‍🔧,1F469-200D-1F527,3,
👩‍🔬,1F469-200D-1F52C,3,
👩‍🚀,1F469-200D-1F680,3,
👩‍🚒,1F469-200D-1F692,3,
👩‍⚕️,1F469-200D-2695-FE0F,3,
👩‍⚖️,1F469-200D-2696-FE0F,3,
👩‍✈️,1F469-200D-2708-FE0F,3,
👩‍❤️‍👨,1F469-200D-2764-FE0F-200D-1F468,3,
👩‍❤️‍👩,1F469-200D-2764-FE0F-200D-1F469,3,
👩‍❤️‍💋‍👨,1F469-200D-2764-FE0F-200D-1F48B-200D-1F468,3,
👩‍❤️‍💋‍👩,1F469-200D-2764-FE0F-200D-1F48B-200D-1F469,3,
👪️,1F46A,3,
👫,1F46B,3,
👬,1F46C,3,
👭,1F46D,3,
👮,1F46E,3,
👮‍♀️,1F46E-200D-2640-FE0F,4,
👮‍♂️,1F46E-200D-2642-FE0F,4,
👯,1F46F,3,
👯‍♀️,1F46F-200D-2640-FE0F,4,
👯‍♂️,1F46F-200D-2642-FE0F,4,
👰,1F470,3,
👱,1F471,4,
👱‍♀️,1F471-200D-2640-FE0F,4,
👱‍♂️,1F471-200D-2642-FE0F,4,
👲,1F472,4,
👳,1F473,3,
👳‍♀️,1F473-200D-2640-FE0F,4,
👳‍♂️,1F473-200D-2642-FE0F,4,
👴,1F474,2,
👵,1F475,2,
👶,1F476,2,
👷,1F477,3,
👷‍♀️,1F477-200D-2640-FE0F,4,
👷‍♂️,1F477-200D-2642-FE0F,4,
👸,1F478,3,
👹,1F479,4,
👺,1F47A,4,
👻,1F47B,3,
👼,1F47C,4,
👽️,1F47D,3,
👾,1F47E,4,
👿,1F47F,1,
💀,1F480,1,
💁,1F481,2,
💁‍♀️,1F481-200D-2640-FE0F,4,
💁‍♂️,1F481-200D-2642-FE0F,4,
💂,1F482,3,
💂‍♀️,1F482-200D-2640-FE0F,4,
💂‍♂️,1F482-200D-2642-FE0F,4,
💃,1F483,2,
💄,1F484,4,
💅,1F485,4,
💆,1F486,3,
💆‍♀️,1F486-200D-2640-FE0F,4,
💆‍♂️,1F486-200D-2642-FE0F,4,
💇,1F487,3,
💇‍♀️,1F487-200D-2640-FE0F,4,
💇‍♂️,1F487-200D-2642-FE0F,4,
💈,1F488,3,
💉,1F489,3,
💊,1F48A,3,
💋,1F48B,1,
💌,1F48C,3,
💍,1F48D,3,
💎,1F48E,2,
💏,1F48F,1,
💐,1F490,3,
💑,1F491,1,
💒,1F492,3,
💓,1F493,2,
💔,1F494,1,
💕,1F495,1,
💖,1F496,2,
💗,1F497,2,
💘,1F498,1,
💙,1F499,3,
💚,1F49A,3,
💛,1F49B,3,
💜,1F49C,3,
💝,1F49D,3,
💞,1F49E,3,
💟,1F49F,3,
💠,1F4A0,4,
💡,1F4A1,1,
💢,1F4A2,4,
💣️,1F4A3,2,
💤,1F4A4,3,
💥,1F4A5,2,
💦,1F4A6,3,
💧,1F4A7,2,
💨,1F4A8,2,
💩,1F4A9,1,
💪,1F4AA,1,
💫,1F4AB,3,
💬,1F4AC,1,
💭,1F4AD,1,
💮,1F4AE,4,
💯,1F4AF,3,
💰️,1F4B0,1,
💱,1F4B1,4,
💲,1F4B2,4,
💳️,1F4B3,3,
💴,1F4B4,3,
💵,1F4B5,3,
💶,1F4B6,3,
💷,1F4B7,3,
💸,1F4B8,2,
💹,1F4B9,4,
💺,1F4BA,3,
💻️,1F4BB,1,
💼,1F4BC,1,
💽,1F4BD,1,
💾,1F4BE,1,
💿️,1F4BF,3,
📀,1F4C0,3,
📁,1F4C1,1,
📂,1F4C2,2,
📃,1F4C3,3,
📄,1F4C4,2,
📅,1F4C5,1,
📆,1F4C6,2,
📇,1F4C7,4,
📈,1F4C8,3,
📉,1F4C9,3,
📊,1F4CA,2,
📋️,1F4CB,1,
📌,1F4CC,1,
📍,1F4CD,2,
📎,1F4CE,1,
📏,1F4CF,3,
📐,1F4D0,3,
📑,1F4D1,4,
📒,1F4D2,3,
📓,1F4D3,1,
📔,1F4D4,4,
📕,1F4D5,1,
📖,1F4D6,1,
📗,1F4D7,4,
📘,1F4D8,4,
📙,1F4D9,4,
📚️,1F4DA,1,
📛,1F4DB,4,
📜,1F4DC,3,
📝,1F4DD,2,
📞,1F4DE,1,
📟️,1F4DF,4,
📠,1F4E0,3,
📡,1F4E1,3,
📢,1F4E2,2,
📣,1F4E3,4,
📤️,1F4E4,3,
📥️,1F4E5,3,
📦️,1F4E6,2,
📧,1F4E7,1,
📨,1F4E8,4,
📩,1F4E9,3,
📪️,1F4EA,3,
📫️,1F4EB,3,
📬️,1F4EC,4,
📭️,1F4ED,4,
📮,1F4EE,3,
📯,1F4EF,3,
📰,1F4F0,2,
📱,1F4F1,1,
📲,1F4F2,3,
📳,1F4F3,2,
📴,1F4F4,3,
📵,1F4F5,2,
📶,1F4F6,2,
📷️,1F4F7,2,
📸,1F4F8,3,
📹️,1F4F9,1,
📺️,1F4FA,1,
📻️,1F4FB,1,
📼,1F4FC,2,
📽️,1F4FD,2,
📿,1F4FF,3,
🔀,1F500,1,
🔁,1F501,1,
🔂,1F502,1,
🔃,1F503,4,
🔄,1F504,1,
🔅,1F505,3,
🔆,1F506,3,
🔇,1F507,1,
🔈️,1F508,1,
🔉,1F509,3,
🔊,1F50A,1,
🔋,1F50B,1,
🔌,1F50C,1,
🔍️,1F50D,1,
🔎,1F50E,3,
🔏,1F50F,4,
🔐,1F510,3,
🔑,1F511,2,
🔒️,1F512,2,
🔓️,1F513,2,
🔔,1F514,1,
🔕,1F515,1,
🔖,1F516,2,
🔗,1F517,2,
🔘,1F518,3,
🔙,1F519,4,
🔚,1F51A,4,
🔛,1F51B,4,
🔜,1F51C,4,
🔝,1F51D,4,
🔞,1F51E,3,
🔟,1F51F,4,
🔠,1F520,3,
🔡,1F521,3,
🔢,1F522,3,
🔣,1F523,3,
🔤,1F524,3,
🔥,1F525,1,
🔦,1F526,1,
🔧,1F527,1,
🔨,1F528,2,
🔩,1F529,4,
🔪,1F52A,1,
🔫,1F52B,1,
🔬,1F52C,4,
🔭,1F52D,3,
🔮,1F52E,3,
🔯,1F52F,4,
🔰,1F530,4,
🔱,1F531,3,
🔲,1F532,4,
🔳,1F533,4,
🔴,1F534,4,
🔵,1F535,4,
🔶,1F536,4,
🔷,1F537,4,
🔸,1F538,4,
🔹,1F539,4,
🔺,1F53A,3,
🔻,1F53B,3,
🔼,1F53C,1,
🔽,1F53D,1,
🕉️,1F549,4,
🕊️,1F54A,3,
🕋,1F54B,3,
🕌,1F54C,3,
🕍,1F54D,3,
🕎,1F54E,4,
🕐️,1F550,3,
🕑️,1F551,3,
🕒️,1F552,3,
🕓️,1F553,3,
🕔️,1F554,3,
🕕️,1F555,3,
🕖️,1F556,3,
🕗️,1F557,3,
🕘️,1F558,3,
🕙️,1F559,3,
🕚️,1F55A,3,
🕛️,1F55B,3,
🕜️,1F55C,3,
🕝️,1F55D,3,
🕞️,1F55E,3,
🕟️,1F55F,3,
🕠️,1F560,3,
🕡️,1F561,3,
🕢️,1F562,3,
🕣️,1F563,3,
🕤️,1F564,3,
🕥️,1F565,3,
🕦️,1F566,3,
🕧️,1F567,3,
🕯️,1F56F,3,
🕰️,1F570,4,
🕳️,1F573,3,
🕴️,1F574,4,
🕵️,1F575,3,
🕵️‍♀️,1F575-FE0F-200D-2640-FE0F,4,
🕵️‍♂️,1F575-FE0F-200D-2642-FE0F,4,
🕶️,1F576,2,
🕷️,1F577,1,
🕸️,1F578,3,
🕹️,1F579,3,
🕺,1F57A,2,
🖇️,1F587,4,
🖊️,1F58A,2,
🖋️,1F58B,3,
🖌️,1F58C,3,
🖍️,1F58D,3,
🖐️,1F590,1,
🖕,1F595,2,
🖖,1F596,3,
🖤,1F5A4,3,
🖥️,1F5A5,1,
🖨️,1F5A8,2,
🖱️,1F5B1,1,
🖲️,1F5B2,4,
🖼️,1F5BC,2,
🗂️,1F5C2,4,
🗃️,1F5C3,3,
🗄️,1F5C4,3,
🗑️,1F5D1,2,
🗒️,1F5D2,2,
🗓️,1F5D3,3,
🗜️,1F5DC,3,
🗝️,1F5DD,3,
🗞️,1F5DE,4,
🗡️,1F5E1,3,
🗣️,1F5E3,2,
🗨️,1F5E8,3,
🗯️,1F5EF,3,
🗳️,1F5F3,4,
🗺️,1F5FA,2,
🗻,1F5FB,3,
🗼,1F5FC,4,
🗽,1F5FD,4,
🗾,1F5FE,4,
🗿,1F5FF,3,
😀,1F600,1,
😁,1F601,1,
😂,1F602,1,
😃,1F603,2,
😄,1F604,1,
😅,1F605,1,
😆,1F606,1,
😇,1F607,1,
😈,1F608,1,
😉,1F609,1,
😊,1F60A,1,
😋,1F60B,1,
😌,1F60C,1,
😍,1F60D,1,
😎,1F60E,1,
😏,1F60F,1,
😐️,1F610,1,
😑,1F611,1,
😒,1F612,1,
😓,1F613,1,
😔,1F614,1,
😕,1F615,1,
😖,1F616,1,
😗,1F617,2,
😘,1F618,1,
😙,1F619,2,
😚,1F61A,1,
😛,1F61B,1,
😜,1F61C,1,
😝,1F61D,1,
😞,1F61E,1,
😟,1F61F,1,
😠,1F620,1,
😡,1F621,1,
😢,1F622,1,
😣,1F623,1,
😤,1F624,1,
😥,1F625,1,
😦,1F626,1,
😧,1F627,1,
😨,1F628,1,
😩,1F629,1,
😪,1F62A,1,
😫,1F62B,1,
😬,1F62C,1,
😭,1F62D,1,
😮,1F62E,1,
😯,1F62F,1,
😰,1F630,1,
😱,1F631,1,
😲,1F632,1,
😳,1F633,1,
😴,1F634,1,
😵,1F635,1,
😶,1F636,1,
😷,1F637,1,
😸,1F638,3,
😹,1F639,3,
😺,1F63A,3,
😻,1F63B,3,
😼,1F63C,3,
😽,1F63D,3,
😾,1F63E,3,
😿,1F63F,3,
🙀,1F640,3,
🙁,1F641,1,
🙂,1F642,1,
🙃,1F643,1,
🙄,1F644,1,
🙅,1F645,2,
🙅‍♀️,1F645-200D-2640-FE0F,4,
🙅‍♂️,1F645-200D-2642-FE0F,4,
🙆,1F646,3,
🙆‍♀️,1F646-200D-2640-FE0F,4,
🙆‍♂️,1F646-200D-2642-FE0F,4,
🙇,1F647,3,
🙇‍♀️,1F647-200D-2640-FE0F,4,
🙇‍♂️,1F647-200D-2642-FE0F,4,
🙈,1F648,2,
🙉,1F649,2,
🙊,1F64A,2,
🙋,1F64B,2,
🙋‍♀️,1F64B-200D-2640-FE0F,4,
🙋‍♂️,1F64B-200D-2642-FE0F,4,
🙌,1F64C,1,
🙍,1F64D,3,
🙍‍♀️,1F64D-200D-2640-FE0F,4,
🙍‍♂️,1F64D-200D-2642-FE0F,4,
🙎,1F64E,3,
🙎‍♀️,1F64E-200D-2640-FE0F,4,
🙎‍♂️,1F64E-200D-2642-FE0F,4,
🙏,1F64F,2,
🚀,1F680,2,
🚁,1F681,2,
🚂,1F682,2,
🚃,1F683,2,
🚄,1F684,4,
🚅,1F685,2,
🚆,1F686,4,
🚇️,1F687,4,
🚈,1F688,4,
🚉,1F689,3,
🚊,1F68A,4,
🚋,1F68B,4,
🚌,1F68C,2,
🚍️,1F68D,4,
🚎,1F68E,4,
🚏,1F68F,3,
🚐,1F690,2,
🚑️,1F691,2,
🚒,1F692,2,
🚓,1F693,2,
🚔️,1F694,4,
🚕,1F695,2,
🚖,1F696,4,
🚗,1F697,2,
🚘️,1F698,4,
🚙,1F699,3,
🚚,1F69A,2,
🚛,1F69B,3,
🚜,1F69C,2,
🚝,1F69D,3,
🚞,1F69E,4,
🚟,1F69F,4,
🚠,1F6A0,3,
🚡,1F6A1,4,
🚢,1F6A2,2,
🚣,1F6A3,3,
🚣‍♀️,1F6A3-200D-2640-FE0F,4,
🚣‍♂️,1F6A3-200D-2642-FE0F,4,
🚤,1F6A4,3,
🚥,1F6A5,3,
🚦,1F6A6,2,
🚧,1F6A7,3,
🚨,1F6A8,4,
🚩,1F6A9,4,
🚪,1F6AA,3,
🚫,1F6AB,1,
🚬,1F6AC,3,
🚭️,1F6AD,3,
🚮,1F6AE,3,
🚯,1F6AF,4,
🚰,1F6B0,3,
🚱,1F6B1,4,
🚲️,1F6B2,2,
🚳,1F6B3,3,
🚴,1F6B4,3,
🚴‍♀️,1F6B4-200D-2640-FE0F,4,
🚴‍♂️,1F6B4-200D-2642-FE0F,4,
🚵,1F6B5,4,
🚵‍♀️,1F6B5-200D-2640-FE0F,4,
🚵‍♂️,1F6B5-200D-2642-FE0F,4,
🚶,1F6B6,2,
🚶‍♀️,1F6B6-200D-2640-FE0F,3,
🚶‍♂️,1F6B6-200D-2642-FE0F,3,
🚷,1F6B7,4,
🚸,1F6B8,4,
🚹️,1F6B9,1,
🚺️,1F6BA,1,
🚻,1F6BB,1,
🚼️,1F6BC,3,
🚽,1F6BD,2,
🚾,1F6BE,3,
🚿,1F6BF,3,
🛀,1F6C0,4,
🛁,1F6C1,3,
🛂,1F6C2,4,
🛃,1F6C3,4,
🛄,1F6C4,4,
🛅,1F6C5,4,
🛋️,1F6CB,3,
🛌,1F6CC,3,
🛍️,1F6CD,2,
🛎️,1F6CE,4,
🛏️,1F6CF,2,
🛐,1F6D0,3,
🛑,1F6D1,3,
🛒,1F6D2,2,
🛠️,1F6E0,3,
🛡️,1F6E1,3,
🛢️,1F6E2,4,
🛣️,1F6E3,4,
🛤️,1F6E4,4,
🛥️,1F6E5,2,
🛩️,1F6E9,3,
🛫,1F6EB,3,
🛬,1F6EC,3,
🛰️,1F6F0,3,
🛳️,1F6F3,3,
🛴,1F6F4,2,
🛵,1F6F5,3,
🛶,1F6F6,4,
🛷,1F6F7,4,
🛸,1F6F8,2,
🤐,1F910,1,
🤑,1F911,2,
🤒,1F912,1,
🤓,1F913,1,
🤔,1F914,1,
🤕,1F915,1,
🤖,1F916,1,
🤗,1F917,2,
🤘,1F918,1,
🤙,1F919,1,
🤚,1F91A,1,
🤛,1F91B,1,
🤜,1F91C,1,
🤝,1F91D,1,
🤞,1F91E,1,
🤟,1F91F,2,
🤠,1F920,1,
🤡,1F921,1,
🤢,1F922,1,
🤣,1F923,1,
🤤,1F924,2,
🤥,1F925,1,
🤦,1F926,2,
🤦‍♀️,1F926-200D-2640-FE0F,3,
🤦‍♂️,1F926-200D-2642-FE0F,3,
🤧,1F927,2,
🤨,1F928,2,
🤩,1F929,2,
🤪,1F92A,2,
🤫,1F92B,2,
🤬,1F92C,1,
🤭,1F92D,2,
🤮,1F92E,1,
🤯,1F92F,2,
🤰,1F930,3,
🤱,1F931,3,
🤲,1F932,2,
🤳,1F933,3,
🤴,1F934,3,
🤵,1F935,4,
🤶,1F936,3,
🤷,1F937,2,
🤷‍♀️,1F937-200D-2640-FE0F,4,
🤷‍♂️,1F937-200D-2642-FE0F,4,
🤸,1F938,3,
🤸‍♀️,1F938-200D-2640-FE0F,4,
🤸‍♂️,1F938-200D-2642-FE0F,4,
🤹,1F939,3,
🤹‍♀️,1F939-200D-2640-FE0F,4,
🤹‍♂️,1F939-200D-2642-FE0F,4,
🤺,1F93A,3,
🤼,1F93C,3,
🤼‍♀️,1F93C-200D-2640-FE0F,4,
🤼‍♂️,1F93C-200D-2642-FE0F,4,
🤽,1F93D,3,
🤽‍♀️,1F93D-200D-2640-FE0F,4,
🤽‍♂️,1F93D-200D-2642-FE0F,4,
🤾,1F93E,3,
🤾‍♀️,1F93E-200D-2640-FE0F,4,
🤾‍♂️,1F93E-200D-2642-FE0F,4,
🥀,1F940,3,
🥁,1F941,2,
🥂,1F942,2,
🥃,1F943,3,
🥄,1F944,3,
🥅,1F945,4,
🥇,1F947,3,
🥈,1F948,3,
🥉,1F949,3,
🥊,1F94A,3,
🥋,1F94B,3,
🥌,1F94C,4,
🥐,1F950,3,
🥑,1F951,3,
🥒,1F952,3,
🥓,1F953,3,
🥔,1F954,3,
🥕,1F955,3,
🥖,1F956,3,
🥗,1F957,4,
🥘,1F958,4,
🥙,1F959,4,
🥚,1F95A,3,
🥛,1F95B,3,
🥜,1F95C,3,
🥝,1F95D,3,
🥞,1F95E,4,
🥟,1F95F,4,
🥠,1F960,4,
🥡,1F961,4,
🥢,1F962,3,
🥣,1F963,3,
🥤,1F964,2,
🥥,1F965,3,
🥦,1F966,3,
🥧,1F967,3,
🥨,1F968,3,
🥩,1F969,3,
🥪,1F96A,3,
🥫,1F96B,4,
🦀,1F980,3,
🦁,1F981,3,
🦂,1F982,3,
🦃,1F983,3,
🦄,1F984,2,
🦅,1F985,2,
🦆,1F986,2,
🦇,1F987,3,
🦈,1F988,2,
🦉,1F989,3,
🦊,1F98A,2,
🦋,1F98B,3,
🦌,1F98C,3,
🦍,1F98D,3,
🦎,1F98E,3,
🦏,1F98F,3,
🦐,1F990,3,
🦑,1F991,3,
🦒,1F992,3,
🦓,1F993,3,
🦔,1F994,3,
🦕,1F995,3,
🦖,1F996,2,
🦗,1F997,3,
🧀,1F9C0,3,
🧐,1F9D0,2,
🧑,1F9D1,2,
🧒,1F9D2,2,
🧓,1F9D3,2,
🧔,1F9D4,3,
🧕,1F9D5,3,
🧖,1F9D6,4,
🧖‍♀️,1F9D6-200D-2640-FE0F,4,
🧖‍♂️,1F9D6-200D-2642-FE0F,4,
🧗,1F9D7,3,
🧗‍♀️,1F9D7-200D-2640-FE0F,4,
🧗‍♂️,1F9D7-200D-2642-FE0F,4,
🧘,1F9D8,3,
🧘‍♀️,1F9D8-200D-2640-FE0F,4,
🧘‍♂️,1F9D8-200D-2642-FE0F,4,
🧙,1F9D9,3,
🧙‍♀️,1F9D9-200D-2640-FE0F,4,
🧙‍♂️,1F9D9-200D-2642-FE0F,4,
🧚,1F9DA,4,
🧚‍♀️,1F9DA-200D-2640-FE0F,4,
🧚‍♂️,1F9DA-200D-2642-FE0F,4,
🧛,1F9DB,4,
🧛‍♀️,1F9DB-200D-2640-FE0F,4,
🧛‍♂️,1F9DB-200D-2642-FE0F,4,
🧜,1F9DC,4,
🧜‍♀️,1F9DC-200D-2640-FE0F,4,
🧜‍♂️,1F9DC-200D-2642-FE0F,4,
🧝,1F9DD,3,
🧝‍♀️,1F9DD-200D-2640-FE0F,4,
🧝‍♂️,1F9DD-200D-2642-FE0F,4,
🧞,1F9DE,3,
🧞‍♀️,1F9DE-200D-2640-FE0F,4,
🧞‍♂️,1F9DE-200D-2642-FE0F,4,
🧟,1F9DF,3,
🧟‍♀️,1F9DF-200D-2640-FE0F,4,
🧟‍♂️,1F9DF-200D-2642-FE0F,4,
🧠,1F9E0,2,
🧡,1F9E1,4,
🧢,1F9E2,4,
🧣,1F9E3,4,
🧤,1F9E4,4,
🧥,1F9E5,4,
🧦,1F9E6,4,
‼️,203C,4,
↩️,21A9,2,
↪️,21AA,2,
⌚️,231A,2,
⌛️,231B,2,
⏏️,23CF,2,
⏪️,23EA,2,
⏫,23EB,2,
⏬,23EC,2,
⏭️,23ED,2,
⏮️,23EE,2,
⏯️,23EF,2,
⏰,23F0,2,
⏱️,23F1,2,
⏲️,23F2,3,
⏳️,23F3,2,
⏸️,23F8,2,
⏹️,23F9,2,
⏺️,23FA,2,
Ⓜ️,24C2,4,
▪️,25AA,4,
▫️,25AB,4,
▶️,25B6,1,
◀️,25C0,2,
◻️,25FB,4,
◼️,25FC,4,
◽️,25FD,4,
◾️,25FE,4,
☎️,260E,1,
☝️,261D,3,
☪️,262A,3,
☮️,262E,3,
☯️,262F,3,
☺️,263A,1,
♊️,264A,4,
♋️,264B,4,
♌️,264C,4,
♍️,264D,4,
♎️,264E,4,
♏️,264F,4,
♻️,267B,2,
♿️,267F,1,
⚛️,269B,3,
⚜️,269C,4,
⚠️,26A0,1,
⚡️,26A1,1,
⚪️,26AA,4,
⚫️,26AB,4,
⚰️,26B0,3,
⚱️,26B1,4,
⚽️,26BD,2,
⚾️,26BE,2,
⛄️,26C4,3,
⛅️,26C5,3,
⛈️,26C8,3,
⛎,26CE,4,
⛏️,26CF,3,
⛑️,26D1,4,
⛓️,26D3,3,
⛔️,26D4,2,
⛪️,26EA,2,
⛰️,26F0,2,
⛱️,26F1,4,
⛲️,26F2,4,
⛳️,26F3,3,
⛴️,26F4,4,
⛵️,26F5,2,
⛷️,26F7,3,
⛸️,26F8,4,
⛹️,26F9,3,
⛹️‍♀️,26F9-FE0F-200D-2640-FE0F,4,
⛹️‍♂️,26F9-FE0F-200D-2642-FE0F,4,
⛺️,26FA,2,
⛽️,26FD,3,
✊,270A,2,
✋,270B,2,
✌️,270C,1,
✍️,270D,1,
✏️,270F,1,
✝️,271D,2,
❌,274C,1,
❎,274E,2,
➡️,27A1,1,
➰,27B0,4,
➿,27BF,4,
⬅️,2B05,1,
⬆️,2B06,1,
⬇️,2B07,1,
⬛️,2B1B,4,
⬜️,2B1C,4,
⭐️,2B50,1,
⭕️,2B55,2,
〽️,303D,4,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,2,
,,3,
,,3,
,,3,
,,3,
,,3,
,,4,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,4,
,,4,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,4,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,4,
,,4,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,4,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,3,
,,4,
,,4,
,,4,
,,4,
,,4,
,,3,
,,3,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,4,
,,3,
,,4,
,,4,
,,4,
,,3,
,,4,
,,3,
,,4,
